"mtry","trees","min_n",".metric",".estimator","mean","n","std_err",".config"
5,1323,38,"rsq","standard",0.452748026860535,10,0.00192744265912286,"Model01"
8,121,32,"rsq","standard",0.447960980575321,10,0.00192932797874657,"Model09"
11,515,20,"rsq","standard",0.44079319246002,10,0.00199958009063729,"Model06"
22,763,28,"rsq","standard",0.44047015805783,10,0.00193789888089755,"Model04"
19,1995,23,"rsq","standard",0.438603962023472,10,0.00196161128286261,"Model10"
5,1323,38,"rmse","standard",85.6468483904512,10,0.277014076707112,"Model01"
8,121,32,"rmse","standard",86.0596932264897,10,0.269828082343342,"Model09"
11,515,20,"rmse","standard",86.7318733938112,10,0.269045072330482,"Model06"
22,763,28,"rmse","standard",86.7599839476849,10,0.26307742719674,"Model04"
19,1995,23,"rmse","standard",86.9396773758705,10,0.263780614858098,"Model10"
5,1323,38,"huber_loss","standard",65.5569130524787,10,0.17341337711433,"Model01"
8,121,32,"huber_loss","standard",65.8714594786214,10,0.175568872780279,"Model09"
11,515,20,"huber_loss","standard",66.4010790096738,10,0.178011703179244,"Model06"
22,763,28,"huber_loss","standard",66.4037247590302,10,0.174007694974683,"Model04"
19,1995,23,"huber_loss","standard",66.5486427655634,10,0.174678033513117,"Model10"
